,note,sort,stat,code,fd,name,parent,freq,tb,sdt
105,利息保障倍数，即企业息税前利润与利息费用的比值，衡量公司偿还借款利息的能力。利息保障倍数LTM=最近12个月息税前利润（扣除非经常性损益后）/最近12个月利息支出,164,1,M006005L,f47,利息保障倍数LTM,M006,Q,metrics.comm_idx_quant_his_a,2008-04-30
106,现金流量利息保障倍数，即公司经营活动产生的现金流量净额与利息费用的比值。现金流量利息保障倍数LTM=最近12个月经营活动产生的现金流量净额/最近12个月利息支出,166,1,M006006L,f48,现金流量利息保障倍数LTM,M006,Q,metrics.comm_idx_quant_his_a,2008-04-30
107,存货周转率，即一定期间内公司主营业务成本与平均存货的比率。存货周转率LTM=最近12个月营业成本/平均存货余额LTM；平均存货余额LTM=（本期存货余额+上年同期存货余额）/2,143,1,M005002L,ito,存货周转率LTM,M005,Q,metrics.comm_idx_quant_his_a,2008-04-30
108,营业利润率，即营业利润占营业总收入的比重。营业利润率LTM=最近12个月营业利润/最近12个月营业总收入,27,1,M002005L,f2,营业利润率LTM,M002,Q,metrics.comm_idx_quant_his_a,2008-04-30
109,股利支付率，即公司分派给股东的股息占公司盈利的比重，或每股股利占每股收益的比重。股利支付率LTM=最近12个月每股股利/最近12个月每股收益；最近12个月基本每股收益=最近12个月归属于普通股股东的净利润／实际发行在外普通股的加权平均数；实际发行在外普通股的加权平均数=∑(发行在外普通股股数×发行在外月份数)／12,31,1,M002016L,f11,股利支付率LTM,M002,Q,metrics.comm_idx_quant_his_a,2008-04-30
110,营业费用率，即营业费用占营业总收入的比重。营业费用率LTM=最近12个月营业费用/最近12个月营业总收入,24,1,M002013L,f8,营业费用率LTM,M002,Q,metrics.comm_idx_quant_his_a,2008-04-30
111,财务费用率，即财务费用占营业总收入的比重。财务费用率LTM=最近12个月财务费用/最近12个月营业总收入,25,1,M002014L,f9,财务费用率LTM,M002,Q,metrics.comm_idx_quant_his_a,2008-04-30
112,销售费用率，即销售费用占营业总收入的比重。销售费用率LTM=最近12个月销售费用/最近12个月营业总收入,23,1,M002015L,f10,销售费用率LTM,M002,Q,metrics.comm_idx_quant_his_a,2008-04-30
113,研发费用率，即研发费用占营业总收入的比重。研发费用率LTM=最近12个月研发费用/最近12个月营业总收入,26,1,M002018L,f62,研发费用率LTM,M002,Q,metrics.comm_idx_quant_his_a,2008-04-30
114,销售现金比率，即经营活动产生的现金流量净额占营业收入的百分比。销售现金比率LTM＝最近12个月经营活动产生的现金流量净额/最近12个月营业收入,33,1,M002008L,f3,销售现金比率LTM,M002,Q,metrics.comm_idx_quant_his_a,2008-04-30
115,净利润_同比增长率，即本期净利润相对上年同期的增长百分比。净利润_同比增长率LTM=(最近12个月净利润-上年同期值)/上年同期绝对值,58,1,M003001L,f12,净利润_同比增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2009-04-30
116,毛利率_同比增长率，即本期毛利率相对上年同期的增长百分比。毛利率_同比增长率LTM=(最近12个月毛利率-上年同期值)/上年同期绝对值,62,1,M003007L,f17,毛利率_同比增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2009-04-30
117,净利率_同比增长率，即本期净利率相对上年同期的增长百分比。净利率_同比增长率LTM=(最近12个月净利率-上年同期值)/上年同期绝对值,63,1,M003008L,f18,净利率_同比增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2009-04-30
118,营业利润_同比增长率，即本期营业利润相对上年同期的增长百分比。营业利润__同比增长率LTM=(最近12个月营业利润-上年同期值)/上年同期绝对值,56,1,M003011L,f20,营业利润_同比增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2009-04-30
119,毛利率，即销售毛利率，等于毛利润与营业总收入的比值。毛利率LTM=最近12个月毛利润/最近12个月营业总收入,21,1,M002003L,gpm,毛利率LTM,M002,Q,metrics.comm_idx_quant_his_a,2008-04-30
120,净利率，即销售净利率，等于净利润与营业总收入的比值。净利率LTM=最近12个月净利润/最近12个月营业总收入,22,1,M002006L,npm,净利率LTM,M002,Q,metrics.comm_idx_quant_his_a,2008-04-30
121,息税前利润率，即息税前利润占营业总收入的比重。息税前利润率LTM=最近12个月息税前利润（扣除非经常性损益）/最近12个月营业总收入；最近12个月扣除非经常性损益后EBIT（反推法）=最近12个月税前利润（扣除非经常损益）+利息费用,28,1,M002004L,f1,息税前利润率LTM,M002,Q,metrics.comm_idx_quant_his_a,2008-04-30
122,净资产收益率_平均，也称权益净利率，即公司净利润占平均净资产的比重。净资产收益率_平均LTM=最近12个月净利润/平均净资产总额LTM；平均净资产总额LTM=（本期股东权益合计+上年同期股东权益合计）/2,30,1,M002001L,roae,净资产收益率_平均LTM,M002,Q,metrics.comm_idx_quant_his_a,2008-04-30
123,总资产净利率_平均，即公司净利润占平均总资产的比重。总资产净利率_平均LTM=最近12个月净利润/平均资产总额LTM；平均资产总额LTM=（本期资产总额+上年同期资产总额）/2,29,1,M002002L,roaa,总资产净利率_平均LTM,M002,Q,metrics.comm_idx_quant_his_a,2008-04-30
124,经营现金流量净额占比，即经营活动产生的现金流净额占总现金流净额的比重。经营现金流量净额占比LTM=最近12个月经营活动产生的现金流量净额/（最近12个月经营活动产生的现金流量净额+最近12个月投资活动产生的现金流量净额+最近12个月筹资活动产生的现金流量净额）,34,1,M002010L,f5,经营现金流量净额占比LTM,M002,Q,metrics.comm_idx_quant_his_a,2008-04-30
125,投资现金流量净额占比，即投资活动产生的现金流净额占总现金流净额的比重。投资现金流量净额占比LTM=最近12个月投资活动产生的现金流量净额/（最近12个月经营活动产生的现金流量净额+最近12个月投资活动产生的现金流量净额+最近12个月筹资活动产生的现金流量净额）,35,1,M002011L,f6,投资现金流量净额占比LTM,M002,Q,metrics.comm_idx_quant_his_a,2008-04-30
126,筹资现金流量净额占比，即筹资活动产生的现金流净额占总现金流净额的比重。最近12个月筹资现金流量净额占比LTM=最近12个月筹资活动产生的现金流量净额/（最近12个月经营活动产生的现金流量净额+最近12个月投资活动产生的现金流量净额+最近12个月筹资活动产生的现金流量净额）,36,1,M002012L,f7,筹资现金流量净额占比LTM,M002,Q,metrics.comm_idx_quant_his_a,2008-04-30
127,盈利现金比率，即经营活动产生的现金流量净额/净利润。盈利现金比率LTM＝最近12个月经营活动产生的现金流量净额/最近12个月净利润,32,1,M002009L,f4,盈利现金比率LTM,M002,Q,metrics.comm_idx_quant_his_a,2008-04-30
128,经营现金流量净额_同比增长率，即本期经营活动产生的现金流量净额相对上年同期的增长百分比。经营现金流量净额_同比增长率LTM=(最近12个月经营现金流量净额-上年同期值)/上年同期绝对值,67,1,M003012L,opcfg,经营现金流量净额_同比增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2009-04-30
129,归属母公司净利润_同比增长率，即本期归属母公司净利润相对上年同期的增长百分比。归属母公司净利润_同比增长率LTM=(最近12个月归属母公司净利润本期值-上年同期值)/上年同期绝对值,59,1,M003013L,patmig,归属母公司净利润_同比增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2009-04-30
130,净利润_3年复合增长率，即当期净利润相对于3年前同期值的复合年增长百分比。净利润_3年复合增长率LTM=（（最近12个月净利润-3年前同期值）/3年前同期绝对值+1）^(1/3)-1,72,1,M003020L,f28,净利润_3年复合增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2011-04-30
131,营业利润_3年复合增长率，即当期营业利润相对于3年前同期值的复合年增长百分比。营业利润_3年复合增长率LTM=（（最近12个月营业利润-3年前同期值）/3年前同期绝对值+1）^(1/3)-1,70,1,M003022L,f30,营业利润_3年复合增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2011-04-30
132,每股收益_3年复合增长率，即当期每股收益相对于3年前同期值的复合年增长百分比。每股收益_3年复合增长率LTM=（（最近12个月每股收益-3年前同期值）/3年前同期绝对值+1）^(1/3)-1；最近12个月基本每股收益=最近12个月归属于普通股股东的净利润／实际发行在外普通股的加权平均数；实际发行在外普通股的加权平均数=∑(发行在外普通股股数×发行在外月份数)／12,74,1,M003023L,f31,基本每股收益_3年复合增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2011-04-30
133,营业利润率_3年复合增长率，即当期营业利润率相对于3年前同期值的复合年增长百分比。营业利润率_3年复合增长率LTM=（（最近12个月营业利润率-3年前同期值）/3年前同期绝对值+1）^(1/3)-1；最近12个月营业利润率=最近12个月毛利润/最近12个月营业收入,78,1,M003025L,f33,营业利润率_3年复合增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2011-04-30
134,营业总收入_3年复合增长率，即当期营业总收入相对于3年前同期值的复合年增长百分比。营业总收入_3年复合增长率LTM=（最近12个月营业总收入/3年前同期值）^(1/3)-1,68,1,M003018L,f26,营业总收入_3年复合增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2011-04-30
135,营业总成本_3年复合增长率，即当期营业总成本相对于3年前同期值的复合年增长百分比。营业总成本_3年复合增长率LTM=（最近12个月营业总成本/3年前同期绝对值）^(1/3)-1,69,1,M003019L,f27,营业总成本_3年复合增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2011-04-30
136,净资产收益率（平均）_3年复合增长率，即当期净资产收益率相对于3年前同期值的复合年增长百分比。净资产收益率（平均）_3年复合增长率LTM=（（最近12个月平均净资产收益率-3年前同期值）/3年前同期绝对值+1）^(1/3)-1；净资产收益率_平均LTM=最近12个月净利润/平均净资产总额LTM；平均净资产总额LTM=（本期股东权益合计+上年同期股东权益合计）/2,80,1,M003026L,f34,净资产收益率（平均）_3年复合增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2011-04-30
137,归属母公司净利润_3年复合增长率，即当期归属母公司净利润相对于3年前同期值的复合年增长百分比。归属母公司净利润_3年复合增长率LTM=（（最近12个月归属母公司净利润-3年前同期值）/3年前同期绝对值+1）^(1/3)-1,73,1,M003021L,f29,归属母公司净利润_3年复合增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2011-04-30
138,经营现金流量净额_3年复合增长率，即当期经营现金流量净额相对于3年前同期值的复合年增长百分比。经营现金流量净额_3年复合增长率LTM=（（最近12个月经营现金流量净额-3年前同期值）/3年前同期绝对值+1）^(1/3)-1,81,1,M003024L,f32,经营现金流量净额_3年复合增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2011-04-30
139,净资产收益率（平均）_同比增长率，即本期净资产收益率相对上年同期的增长百分比。净资产收益率（平均）_同比增长率LTM=(最近12个月净资产收益率-上年同期值)/上年同期绝对值；净资产收益率_平均LTM=最近12个月净利润/平均净资产总额LTM；平均净资产总额LTM=（本期股东权益合计+上年同期股东权益合计）/2,66,1,M003005L,f15,净资产收益率（平均）_同比增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2009-04-30
140,总资产净利率（平均）_同比增长率，即本期总资产净利率相对上年同期的增长百分比。总资产净利率（平均）_同比增长率LTM=(最近12个月总资产净利率-上年同期值)/上年同期绝对值；总资产净利率_平均=最近12个月净利润/平均资产总额LTM；平均资产总额LTM=（本期资产总额+上年同期资产总额）/2,65,1,M003006L,f16,总资产净利率（平均）_同比增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2009-04-30
141,应付账款周转率，即应付账款的周转次数，用来反映企业应付账款的流动性和流动负债偿付能力。应付账款周转率LTM=最近12个月主营业务成本/平均应付账款LTM；平均应付账款LTM=（本期应付账款+上年同期应付账款）/2,145,1,M005009L,pto,应付账款周转率LTM,M005,Q,metrics.comm_idx_quant_his_a,2008-04-30
142,营业总收入_同比增长率，即本期营业总收入相对上年同期值的增长百分比。营业总收入_同比增长率LTM=（最近12个月营业总收入本期值-上年同期值）/上年同期值,54,1,M003028L,revg,营业总收入_同比增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2009-04-30
143,营业总成本_同比增长率，即本期营业总成本相对上年同期的增长百分比。营业总成本_同比增长率LTM=(最近12个月营业总成本-上年同期值)/上年同期值,55,1,M003029L,f50,营业总成本_同比增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2009-04-30
144,EBITDA_3年复合增长率，即当期EBITDA相对于3年前同期值的复合年增长百分比。EBITDA_3年复合增长率LTM=（（最近12个月EBITDA-3年前同期值）/3年前同期绝对值+1）^(1/3)-1；最近12个月扣除非经常性损益后EBITDA（反推法）=最近12个月税前利润（扣除非经常损益）+利息费用+报告期计提的折旧与摊销,75,1,M003031L,f52,EBITDA_3年复合增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2011-04-30
145,毛利率_3年复合增长率，即当期毛利率相对于3年前同期值的复合年增长百分比。毛利率_3年复合增长率LTM=（（最近12个月毛利率-3年前同期值）/3年前同期绝对值+1）^(1/3)-1,76,1,M003032L,f53,毛利率_3年复合增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2011-04-30
146,净利率_3年复合增长率，即当期净利率相对于3年前同期值的复合年增长百分比。净利率_3年复合增长率LTM=（（最近12个月净利率-3年前同期值）/3年前同期绝对值+1）^(1/3)-1,77,1,M003033L,f54,净利率_3年复合增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2011-04-30
147,营业利润率_同比增长率，即本期营业利润率相对上年同期的增长百分比。营业利润率_同比增长率LTM=(最近12个月营业利润率-上年同期值)/上年同期绝对值,64,1,M003034L,f55,营业利润率_同比增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2009-04-30
148,利润总额_3年复合增长率，即当期利润总额相对于3年前同期值的复合年增长百分比。利润总额_3年复合增长率LTM=（（最近12个月利润总额-3年前同期值）/3年前同期绝对值+1）^(1/3)-1,71,1,M003030L,f51,利润总额_3年复合增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2011-04-30
149,总资产净利率（平均）_3年复合增长率，即当期总资产净利率相对于3年前同期值的复合年增长百分比。总资产净利率（平均）_3年复合增长率LTM=（（最近12个月总资产净利率-3年前同期值）/3年前同期绝对值+1）^(1/3)-1；总资产净利率_平均=最近12个月净利润/平均资产总额LTM；平均资产总额LTM=（本期资产总额+上年同期资产总额）/2,79,1,M003040L,f61,总资产净利率（平均）_3年复合增长率LTM,M003,Q,metrics.comm_idx_quant_his_a,2011-04-30
150,机构持股比例，即除自然人、高管外的机构持股数占总股数的比例。机构持股比例=机构持股数量/总股本,141,1,M004019Y,p29,机构持股比例,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
151,EBITDA_同比增长率，即息税折旧摊销前利润相对上年同期的增长百分比。EBITDA_同比增长率YTD=(最近报告期EBITDA-上年同期值)/上年同期绝对值；最近报告期EBITDA（反推法）=年初至最近报告期税前利润+利息费用+报告期计提的折旧与摊销,89,1,M003002Y,f13,EBITDA_同比增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
152,基本每股收益_同比增长率，即基本每股收益相对上年同期值的增长百分比。基本每股收益_同比增长率YTD=(最近报告期基本每股收益-上年同期值)/上年同期绝对值；最近报告期基本每股收益=最近报告期归属于普通股股东的净利润／实际发行在外普通股的加权平均数；实际发行在外普通股的加权平均数=∑(发行在外普通股股数×发行在外月份数)／12,88,1,M003004Y,epsg,每股收益_同比增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
153,利润总额_同比增长率，即本期利润总额相对上年同期的增长百分比。利润总额_同比增长率YTD=(最近报告期利润总额-上年同期值)/上年同期绝对值,85,1,M003014Y,f22,利润总额_同比增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
154,总资产_相对年初增长率，即本期末总资产额相对年初值的增长百分比。总资产_相对年初增长率=（最近报告期总资产-年初总资产）/年初总资产,102,1,M003016Y,f24,总资产_相对年初增长率,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
155,股权集中度_流通，即前三大流通股股东持股比重。股权集中度_流通=前三大流通股东持股数/流通股股数,140,1,M004009Y,p26,股权集中度_流通,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
156,资本固定化率，即固定化资产占公司所有者权益的比例，衡量公司自有资本的固定化程度。资本固定化率=最近报告期非流动资产额/平均股东权益合计YTD；平均股东权益合计YTD=（年初股东权益合计+最近报告期股东权益合计）/2,130,1,M004016Y,f39,资本固定化率YTD,M004,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
157,固定资产周转率，也称固定资产利用率，即公司营业总收入与平均固定资产的比值。固定资产周转率YTD=最近报告期营业总收入/平均固定资产合计YTD×年化调整系数；平均固定资产合计YTD=（年初固定资产+最近报告期固定资产）/2,158,1,M005001Y,f40,固定资产周转率YTD,M005,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
158,应收账款周转率，即一定期间内公司的赊销收入与平均应收账款的比率。应收账款周转率YTD=最近报告期营业收入/平均应收账款YTD×年化调整系数；平均应收账款YTD=（年初应收账款+最近报告期应收账款）/2,152,1,M005003Y,rto,应收账款周转率YTD,M005,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
159,总资产周转率，即一定期间内公司销售收入与平均资产的比率。总资产周转率YTD=最近报告期营业总收入/平均资产总额YTD×年化调整系数；平均资产总额YTD=（年初资产总额+最近报告期资产总额）/2,157,1,M005004Y,f41,总资产周转率YTD,M005,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
160,流动资产周转率，即一定期间内公司销售收入与平均流动资产的比率。流动资产周转率YTD=最近报告期营业总收入/平均流动资产YTD×年化调整系数；平均流动资产YTD=（年初流动资产+最近报告期流动资产）/2,155,1,M005005Y,f42,流动资产周转率YTD,M005,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
161,长期债务与营运资本比率，即公司长期债务与营运资本的比率。长期债务与营运资本比率=最近报告期非流动负债合计/(最近报告期流动资产合计-最近报告期流动负债合计),159,1,M005006Y,f43,长期债务与营运资本比率YTD,M005,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
162,营运资本周转率，即公司销售收入与平均营运资本的比率。营运资本周转率YTD=最近报告期营业总收入/平均营运资本YTD×年化调整系数；平均营运资本YTD=平均流动资产YTD-平均流动负债YTD=（年初流动资产-年初流动负债+最近报告期流动资产-最近报告期流动负债）/2,154,1,M005007Y,f44,营运资本周转率YTD,M005,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
163,非流动资产周转率，即公司销售收入与平均非流动资产的比率。非流动资产周转率YTD=最近报告期营业总收入/平均非流动资产YTD×年化调整系数；平均非流动资产YTD=（年初非流动资产+最近报告期非流动资产）/2,156,1,M005008Y,f45,非流动资产周转率YTD,M005,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
164,利息保障倍数，即企业息税前利润与利息费用的比值，衡量公司偿还借款利息的能力。利息保障倍数YTD=最近报告期息税前利润（扣除非经常性损益后）/最近报告期利息支出,165,1,M006005Y,f47,利息保障倍数YTD,M006,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
165,现金流量利息保障倍数，即公司经营活动产生的现金流量净额与利息费用的比值。现金流量利息保障倍数YTD=最近报告期经营活动产生的现金流量净额/最近报告期利息支出,167,1,M006006Y,f48,现金流量利息保障倍数YTD,M006,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
166,存货周转率，即一定期间内公司主营业务成本与平均存货的比率。存货周转率YTD=最近报告期营业成本/平均存货余额YTD×年化调整系数；平均存货余额YTD=（年初存货余额+最近报告期存货余额）/2,151,1,M005002Y,ito,存货周转率YTD,M005,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
167,营业利润率，即营业利润占营业总收入的比重。营业利润率YTD=最近报告期营业利润/最近报告期营业总收入,44,1,M002005Y,f2,营业利润率YTD,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
168,股利支付率，即公司分派给股东的股息占公司盈利的比重，或每股股息占每股收益的比重。股利支付率YTD=每股股息/每股收益；最近报告期基本每股收益=最近报告期归属于普通股股东的净利润／实际发行在外普通股的加权平均数；实际发行在外普通股的加权平均数=∑(发行在外普通股股数×发行在外月份数)／12,48,1,M002016Y,f11,股利支付率YTD,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
169,营业费用率，即营业费用占营业总收入的比重。营业费用率YTD=最近报告期营业费用/最近报告期营业总收入,41,1,M002013Y,f8,营业费用率YTD,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
170,财务费用率，即财务费用占营业总收入的比重。财务费用率YTD=最近报告期财务费用/最近报告期营业总收入,42,1,M002014Y,f9,财务费用率YTD,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
171,销售费用率，即销售费用占营业总收入的比重。销售费用率YTD=最近报告期销售费用/最近报告期营业总收入,40,1,M002015Y,f10,销售费用率YTD,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
172,流动负债率，即流动负债占总负债的比例，衡量公司的短期负债水平。流动负债率=最近报告期流动负债/最近报告期总负债,126,1,M004013Y,f37,流动负债率,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
173,股权集中度，即前三大股东持股比重。股权集中度=前三大股东持股数/总股数,139,1,M004008Y,p25,股权集中度,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
174,户均持股比例，即股东的平均持股数占总股本的比例。户均持股比例=(股本/股东户数)/股本=1/股东户数,142,1,M004017Y,p27,户均持股比例,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
175,长期负债比率，也称资本化比率，即公司长期负债与资产总额的比值。长期负债比率=最近报告期非流动负债/最近报告期资产总额,127,1,M004012Y,f36,长期负债比率,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
176,固定资产比例，即固定资产占总资产的比重，衡量公司的资金运用效率。固定资产比例=最近报告期固定资产/最近报告期总资产,128,1,M004014Y,f38,固定资产比例,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
177,研发费用率，即研发费用占营业总收入的比重。研发费用率YTD=最近报告期研发费用/最近报告期营业总收入,43,1,M002018Y,f62,研发费用率YTD,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
178,销售现金比率，即经营活动产生的现金流量净额占营业收入的百分比。销售现金比率YTD＝最近报告期经营活动产生的现金流量净额/最近报告期营业收入,50,1,M002008Y,f3,销售现金比率YTD,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
179,净利润_同比增长率，即本期净利润相对上年同期的增长百分比。净利润_同比增长率YTD=(最近报告期净利润-上年同期值)/上年同期绝对值,86,1,M003001Y,f12,净利润_同比增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
180,每股净资产_增长率，即本期每股净资产相对上年同期的增长百分比。每股净资产_同比增长率=(最近报告期每股净资产-上年同期值)/上年同期值；最近报告期每股净资产=最近报告期归属母公司股东的权益／总股本,101,1,M003003Y,f14,每股净资产_同比增长率,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
181,毛利率_同比增长率，即本期毛利率相对上年同期的增长百分比。毛利率_同比增长率YTD=(最近报告期毛利率-上年同期值)/上年同期绝对值,90,1,M003007Y,f17,毛利率_同比增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
182,净利率_同比增长率，即本期净利率相对上年同期的增长百分比。净利率_同比增长率YTD=(最近报告期净利率-上年同期值)/上年同期绝对值,91,1,M003008Y,f18,净利率_同比增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
183,总负债_同比增长率，即总负债相对上年同期的增长百分比。总负债_同比增长率YTD=(最近报告期总负债-上年同期值)/上年同期值,98,1,M003009Y,f19,总负债_同比增长率,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
184,营业利润_同比增长率，即本期营业利润相对上年同期的增长百分比。营业利润__同比增长率YTD=(最近报告期营业利润-上年同期值)/上年同期绝对值,84,1,M003011Y,f20,营业利润_同比增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
185,流动比率，也称营运资本比率，即公司流动资产与流动负债的比率。流动比率=最近报告期流动资产合计/最近报告期流动负债合计=（货币资金+交易性金融资产+应收账款及票据+存货)/流动负债,160,1,M006001Y,cur,流动比率YTD,M006,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
186,现金比率，即公司现金及现金等价物总和与流动负债的比率。现金比率=(最近报告期货币资金+交易性金融资产)/最近报告期流动负债,161,1,M006002Y,csr,现金比率YTD,M006,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
187,速动比率，即公司速动资产与流动负债的比率。速动比率=(最近报告期流动资产-最近报告期存货)/最近报告期流动负债,162,1,M006003Y,qr,速动比率YTD,M006,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
188,毛利率，即销售毛利率，等于毛利润与营业总收入的比值。毛利率YTD=最近报告期毛利润/最近报告期营业总收入,38,1,M002003Y,gpm,毛利率YTD,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
189,净利率，即销售净利率，等于净利润与营业总收入的比值。净利率YTD=最近报告期净利润/最近报告期营业总收入,39,1,M002006Y,npm,净利率YTD,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
190,息税前利润率，即息税前利润占营业总收入的比重。息税前利润率YTD=最近报告期息税前利润（扣除非经常性损益）/最近报告期营业总收入；最近报告期扣除非经常性损益后EBIT（反推法）=最近报告期税前利润（扣除非经常损益）+利息费用,45,1,M002004Y,f1,息税前利润率YTD,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
191,净资产收益率_平均，也称权益净利率，即公司净利润占平均净资产的比重。净资产收益率_平均YTD=最近报告期净利润/平均净资产YTD×年化调整系数；平均净资产YTD=（年初股东权益合计+最近报告期股东权益合计）/2,47,1,M002001Y,roae,净资产收益率_平均YTD,M002,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
192,总资产净利率_平均，即公司净利润占平均总资产的比重。总资产净利率_平均YTD=最近12月净利润/平均总资产YTD×年化调整系数；平均总资产YTD=（年初总资产+最近报告期总资产）/2,46,1,M002002Y,roaa,总资产净利率_平均YTD,M002,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
193,经营现金流量净额占比，即经营活动产生的现金流净额占总现金流净额的比重。经营现金流量净额占比YTD=最近报告期经营活动产生的现金流量净额/（最近报告期经营活动产生的现金流量净额+最近报告期投资活动产生的现金流量净额+最近报告期筹资活动产生的现金流量净额）,51,1,M002010Y,f5,经营现金流量净额占比YTD,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
194,投资现金流量净额占比，即投资活动产生的现金流净额占总现金流净额的比重。投资现金流量净额占比YTD=最近报告期投资活动产生的现金流量净额/（最近报告期经营活动产生的现金流量净额+最近报告期投资活动产生的现金流量净额+最近报告期筹资活动产生的现金流量净额）,52,1,M002011Y,f6,投资现金流量净额占比YTD,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
195,筹资现金流量净额占比，即筹资活动产生的现金流净额占总现金流净额的比重。筹资现金流量净额占比YTD=最近报告期筹资活动产生的现金流量净额/（最近报告期经营活动产生的现金流量净额+最近报告期投资活动产生的现金流量净额+最近报告期筹资活动产生的现金流量净额）,53,1,M002012Y,f7,筹资现金流量净额占比YTD,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
196,盈利现金比率，即经营活动产生的现金流量净额/净利润。盈利现金比率YTD＝最近报告期经营活动产生的现金流量净额/最近报告期净利润,49,1,M002009Y,f4,盈利现金比率YTD,M002,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
197,权益乘数，也称股本乘数，即公司资产总额与股东权益的比值。权益乘数=最近报告期资产总额/最近报告期股东权益合计=1/（1-资产负债率）,123,1,M004011Y,f35,权益乘数,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
198,资产负债率，即公司负债总额与资产总额的比率。资产负债率=最近报告期总负债/最近报告期总资产,122,1,M004010Y,lda,资产负债率,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
